INDV,O(HOM),E(HOM),N_SITES,F,O(HET),Prop,Species,Chrom,SEXO
S8970__Heeleu_L2,1884120,1753466,1915382,0.80692,31262,0.016321548,H.eleuchia,Chr2,Female
S8_USD_Hssara_L7,1937790,1883550,2061950,0.30404,124160,0.060214845,H.sara,Chr2,Male
S9556__Haaran_L2,1902363,1778949.8,1943812,0.74858,41449,0.021323564,H.antiochus,Chr2,Female
A2458__Heeleu_L2,2412896,2222910.1,2422582,0.95149,9686,0.003998213,H.eleuchia,Chr3,Male
A2790__Hssaph_L2,2455565,2300222.3,2508247,0.74675,52682,0.021003514,H.sapho,Chr3,Male
A28_US_Hasnov_L2,2430962,2254619.7,2457586,0.86883,26624,0.010833395,H.congener,Chr3,Male
A3154__Heeleu_L2,2463960,2270196.7,2474901,0.94655,10941,0.004420783,H.eleuchia,Chr3,Male
A323_U_Hasnov_L2,2436266,2284583.7,2490988,0.73488,54722,0.02196799,H.antiochus,Chr3,Female
A3491__Hschoc_L3,2419728,2259896.2,2463313,0.78574,43585,0.017693651,H.sapho,Chr3,Female
A3497__Hschoc,2451534,2294068.4,2501653,0.75856,50119,0.020034353,H.sapho,Chr3,Male
A3501__Hschoc_L2,2435060,2278655.1,2484295,0.76058,49235,0.0198185,H.sapho,Chr3,Male
A3646__Heeleu_L2,2390635,2233006.3,2434162,0.78362,43527,0.017881719,H.eleuchia,Chr3,Male
A3740__Hcaqui_L2,2494455,2311443.3,2521046,0.87314,26591,0.010547606,H.congener,Chr3,Male
A3837__Hcaqui_L2,2476320,2288333.8,2495292,0.90833,18972,0.007603118,H.congener,Chr3,Male
A3856__Hsspru_L1,2498180,2437437.7,2664113,0.26797,165933,0.06228452,H.sara,Chr3,Female
A3858__Hsspru_L1,2538418,2429050,2654803,0.48446,116385,0.043839411,H.sara,Chr3,Female
A3861__Hsspru_L1,2546354,2420229.3,2644992,0.56115,98638,0.037292362,H.sara,Chr3,Female
A3900__Hsmagd_L1,2529842,2428655.8,2654395,0.44824,124553,0.04692331,H.sara,Chr3,Female
A4016__Hlleuc,2466115,2311408.3,2523592,0.72912,57477,0.022775869,H.leucadia,Chr3,Female
A4121__Hssara_L1,2491373,2419372,2643686,0.32098,152313,0.057613877,H.sara,Chr3,Male
A4272__Hssara_L1,2475580,2400983.5,2623289,0.33556,147709,0.056306797,H.sara,Chr3,Male
A4278__Hcaqui_L2,2462882,2282545.2,2488718,0.87469,25836,0.010381248,H.congener,Chr3,Male
A4340__Hsmagd_L1,2473138,2400449.1,2622829,0.32687,149691,0.057072344,H.sara,Chr3,Male
A4343__Hssara_L1,2483384,2408765.9,2632022,0.33423,148638,0.056472932,H.sara,Chr3,Female
A4489__Hssara_L1,2489527,2416746.8,2640788,0.32485,151261,0.057278736,H.sara,Chr3,Male
A4534__Hsbrev_L2,2536224,2434160.8,2660388,0.45115,124164,0.046671388,H.sara,Chr3,Female
A4538__Hsbrev_L2,2535737,2431762.6,2657785,0.46002,122048,0.045920945,H.sara,Chr3,Male
A4678__Hselek_L2,2556564,2409038.2,2632600,0.65989,76036,0.028882474,H.sara,Chr3,Female
A4680__Hselek_L6,2534060,2394266.5,2616290,0.62963,82230,0.031430002,H.sara,Chr3,Male
A4683__Hselek_L2,2545154,2394309.5,2616272,0.67959,71118,0.027182953,H.sara,Chr3,Female
A4749__Heeleu,2412520,2253551.4,2456495,0.78331,43975,0.017901522,H.eleuchia,Chr3,Female
