Chrom,start,end,mid,sites,pi_H.sara,pi_H.leucadia,dxy_H.sara_H.leucadia,Fst_H.sara_H.leucadia
Chrom1,9250186,9.30E+06,4.65E+06,39703,0.0132,0.0076,0.0189,0.0481
Chrom1,9300187,9.35E+06,4.68E+06,38263,0.015,0.0048,0.0191,0.047
Chrom1,9350188,9.40E+06,4.70E+06,39818,0.0149,0.0042,0.0194,0.05
Chrom1,9400189,9.45E+06,4.73E+06,37978,0.0157,0.0059,0.019,0.0396
Chrom1,9450190,9.50E+06,4.75E+06,39223,0.0143,0.0046,0.0202,0.0568
Chrom1,9500191,9.55E+06,4.78E+06,40423,0.0138,0.0056,0.0216,0.0637
Chrom1,9550192,9.60E+06,4.80E+06,36557,0.0161,0.0076,0.0229,0.0515
Chrom1,9600193,9.65E+06,4.83E+06,28543,0.0185,0.0086,0.0246,0.0451
Chrom1,9650194,9.70E+06,4.85E+06,35020,0.0213,0.0073,0.0264,0.0432
Chrom1,9700195,9.75E+06,4.88E+06,25906,0.0209,0.0072,0.0292,0.0548
Chrom1,9750196,9.80E+06,4.90E+06,30330,0.022,0.0072,0.0309,0.0556
Chrom1,9800197,9.85E+06,4.93E+06,33730,0.0185,0.0066,0.0305,0.0719
Chrom1,9850198,9.90E+06,4.95E+06,31816,0.0194,0.0043,0.0264,0.0564
Chrom1,9900199,9.95E+06,4.98E+06,38040,0.0189,0.0068,0.0245,0.0469
Chrom1,9950200,1.00E+07,5.00E+06,33665,0.0183,0.0095,0.0247,0.0446
Chrom1,10000201,1.01E+07,5.03E+06,31726,0.0193,0.0062,0.0262,0.0526
Chrom1,10050202,1.01E+07,5.05E+06,37786,0.0187,0.0073,0.0228,0.04
Chrom1,10100203,1.02E+07,5.08E+06,38308,0.0179,0.0063,0.0223,0.0434
Chrom1,10150204,1.02E+07,5.10E+06,39667,0.0134,0.0055,0.0188,0.0527
Chrom1,10200205,1.03E+07,5.13E+06,39182,0.0148,0.0037,0.0214,0.0613
Chrom1,10250206,1.03E+07,5.15E+06,36355,0.0148,0.0044,0.0192,0.049
Chrom1,10300207,1.04E+07,5.18E+06,29954,0.0169,0.0054,0.0219,0.048
Chrom1,10350208,1.04E+07,5.20E+06,39806,0.0128,0.0058,0.019,0.0567
Chrom1,10400209,1.05E+07,5.23E+06,35481,0.0134,0.0054,0.0197,0.0573
Chrom1,10450210,1.05E+07,5.25E+06,37205,0.015,0.0044,0.0215,0.0593
Chrom1,10500211,1.06E+07,5.28E+06,41980,0.0108,0.0042,0.0179,0.0715
Chrom1,10550212,1.06E+07,5.30E+06,40433,0.0119,0.0048,0.017,0.0547
Chrom1,10600213,1.07E+07,5.33E+06,37664,0.0112,0.005,0.0184,0.0678
Chrom1,10650214,1.07E+07,5.35E+06,33803,0.0154,0.0057,0.0213,0.0522
Chrom1,10700215,1.08E+07,5.38E+06,34265,0.0132,0.0038,0.0209,0.0694
Chrom1,10750216,1.08E+07,5.40E+06,40996,0.0119,0.0042,0.0237,0.0954
Chrom1,10800217,1.09E+07,5.43E+06,39131,0.0119,0.0046,0.0181,0.0622
Chrom1,10850218,1.09E+07,5.45E+06,34378,0.0115,0.0044,0.0161,0.0533
Chrom1,10900219,1.10E+07,5.48E+06,41369,0.0101,0.0036,0.0148,0.0587
Chrom1,10950220,1.10E+07,5.50E+06,38847,0.0159,0.0048,0.0233,0.0612
Chrom1,11000221,1.11E+07,5.53E+06,38505,0.0165,0.0044,0.0238,0.0603
Chrom1,11050222,1.11E+07,5.55E+06,33266,0.0143,0.0063,0.0263,0.0819
Chrom1,11100223,1.12E+07,5.58E+06,38518,0.0115,0.0044,0.0208,0.0814
Chrom1,11150224,1.12E+07,5.60E+06,39273,0.0154,0.0057,0.0229,0.0602
Chrom1,11200225,1.13E+07,5.63E+06,36167,0.0179,0.0061,0.0255,0.0567
Chrom1,11250226,1.13E+07,5.65E+06,38237,0.0154,0.0049,0.0212,0.0542
Chrom1,11300227,1.14E+07,5.68E+06,37892,0.0115,0.0038,0.0165,0.0578
Chrom1,11350228,1.14E+07,5.70E+06,38980,0.0121,0.004,0.0186,0.0647
Chrom1,11400229,1.15E+07,5.73E+06,33075,0.0165,0.0039,0.0202,0.0463
Chrom1,11450230,1.15E+07,5.75E+06,39802,0.0127,0.0044,0.0171,0.0511
Chrom1,11500231,1.16E+07,5.78E+06,30271,0.0146,0.0058,0.0197,0.0493
Chrom1,11550232,1.16E+07,5.80E+06,39885,0.015,0.0047,0.0248,0.0737
Chrom1,11600233,1.17E+07,5.83E+06,39932,0.0122,0.004,0.022,0.0832
Chrom1,11650234,1.17E+07,5.85E+06,39018,0.0148,0.0039,0.019,0.0495
Chrom1,11700235,1.18E+07,5.88E+06,33992,0.0126,0.0055,0.0194,0.061
Chrom1,11750236,1.18E+07,5.90E+06,41787,0.0128,0.0053,0.0198,0.0624
Chrom1,11800237,1.19E+07,5.93E+06,38937,0.0111,0.0043,0.0166,0.0603
Chrom1,11850238,1.19E+07,5.95E+06,40307,0.013,0.0038,0.016,0.0445
Chrom1,11900239,1.20E+07,5.98E+06,41929,0.0123,0.0041,0.017,0.0539
Chrom1,11950240,1.20E+07,6.00E+06,38711,0.0163,0.0062,0.023,0.0542
Chrom1,12000241,1.21E+07,6.03E+06,37592,0.0144,0.0046,0.0234,0.0713
Chrom1,12050242,1.21E+07,6.05E+06,41579,0.0116,0.0041,0.02,0.0772
Chrom1,12100243,1.22E+07,6.08E+06,28765,0.0127,0.0046,0.0208,0.0708
Chrom1,12150244,1.22E+07,6.10E+06,39823,0.0147,0.0038,0.0217,0.0634
Chrom1,12200245,1.23E+07,6.13E+06,40631,0.0126,0.0016,0.018,0.0649
Chrom1,12250246,1.23E+07,6.15E+06,43089,0.0092,0.0032,0.0145,0.067
Chrom1,12300247,1.24E+07,6.18E+06,40088,0.0143,0.003,0.0202,0.0608
Chrom1,12350248,1.24E+07,6.20E+06,38306,0.0112,0.0021,0.0197,0.086
Chrom1,12400249,1.25E+07,6.23E+06,38520,0.0126,0.0035,0.0215,0.0784
Chrom1,12450250,1.25E+07,6.25E+06,41987,0.0104,0.0033,0.0224,0.1058
Chrom1,12500251,1.26E+07,6.28E+06,41687,0.0099,0.003,0.0192,0.0934
Chrom1,12550252,1.26E+07,6.30E+06,37888,0.0111,0.0027,0.0191,0.0813
Chrom1,12600253,1.27E+07,6.33E+06,35402,0.0157,0.0041,0.0212,0.0543
Chrom1,12650254,1.27E+07,6.35E+06,39361,0.0129,0.004,0.0191,0.0622
Chrom1,12700255,1.28E+07,6.38E+06,38982,0.0121,0.0058,0.0172,0.0517
Chrom1,12750256,1.28E+07,6.40E+06,40086,0.0121,0.0039,0.0187,0.0659
Chrom1,12800257,1.29E+07,6.43E+06,38976,0.011,0.0037,0.0162,0.0604
Chrom1,12850258,1.29E+07,6.45E+06,34310,0.0137,0.0046,0.0172,0.0446
Chrom1,12900259,1.30E+07,6.48E+06,36764,0.0143,0.0075,0.0203,0.0492
Chrom1,12950260,1.30E+07,6.50E+06,36533,0.0142,0.0052,0.0196,0.0527
Chrom1,13000261,1.31E+07,6.53E+06,36980,0.0132,0.0047,0.0205,0.0651
Chrom1,13050262,1.31E+07,6.55E+06,39807,0.0111,0.0038,0.0219,0.0936
Chrom1,13100263,1.32E+07,6.58E+06,38785,0.0117,0.0041,0.0204,0.0781
Chrom1,13150264,1.32E+07,6.60E+06,34049,0.012,0.0057,0.0202,0.0698
Chrom1,13200265,1.33E+07,6.63E+06,39528,0.0095,0.0042,0.0196,0.0956
Chrom1,13250266,1.33E+07,6.65E+06,41642,0.0109,0.0045,0.017,0.064
Chrom1,13300267,1.34E+07,6.68E+06,40379,0.0111,0.0051,0.0206,0.082
Chrom1,13350268,1.34E+07,6.70E+06,42215,0.0095,0.0042,0.0149,0.0636
Chrom1,13400269,1.35E+07,6.73E+06,41472,0.01,0.0042,0.0172,0.0737
Chrom1,13450270,1.35E+07,6.75E+06,38905,0.0126,0.0042,0.0171,0.0524
Chrom1,13500271,1.36E+07,6.78E+06,42128,0.0136,0.0043,0.018,0.0506
Chrom1,13550272,1.36E+07,6.80E+06,42396,0.013,0.0044,0.0172,0.0499
Chrom1,13600273,1.37E+07,6.83E+06,38862,0.0119,0.0041,0.0202,0.0756
Chrom1,13650274,1.37E+07,6.85E+06,39701,0.0165,0.005,0.0206,0.0454
Chrom1,13700275,1.38E+07,6.88E+06,39371,0.0136,0.0052,0.0198,0.0575
Chrom1,13750276,1.38E+07,6.90E+06,40082,0.0149,0.0049,0.0179,0.041
Chrom1,13800277,1.39E+07,6.93E+06,38731,0.0128,0.0043,0.0196,0.0648
Chrom1,13850278,1.39E+07,6.95E+06,41579,0.0081,0.0038,0.0195,0.1174
Chrom1,13900279,1.40E+07,6.98E+06,37592,0.0143,0.0052,0.0218,0.0633
Chrom1,13950280,1.40E+07,7.00E+06,35917,0.0169,0.0049,0.0229,0.0535
Chrom1,14000281,1.41E+07,7.03E+06,36230,0.0181,0.0063,0.0221,0.0416
Chrom1,14050282,1.41E+07,7.05E+06,34084,0.0168,0.0065,0.0194,0.0353
Chrom1,14100283,1.42E+07,7.08E+06,31958,0.0118,0.0043,0.0195,0.0716
Chrom1,14150284,1.42E+07,7.10E+06,36728,0.0118,0.004,0.0216,0.0848
Chrom1,14200285,1.43E+07,7.13E+06,42714,0.0113,0.0023,0.0165,0.0645
Chrom1,14250286,1.43E+07,7.15E+06,34325,0.0085,0.0039,0.0195,0.1099
Chrom1,14300287,1.44E+07,7.18E+06,41880,0.0113,0.0042,0.0191,0.074
Chrom1,14350288,1.44E+07,7.20E+06,39840,0.0109,0.0039,0.0177,0.0701
Chrom1,14400289,1.45E+07,7.23E+06,38817,0.0112,0.0051,0.0196,0.0749
Chrom1,14450290,1.45E+07,7.25E+06,41940,0.0096,0.0048,0.0172,0.0766
Chrom1,14500291,1.46E+07,7.28E+06,35738,0.0129,0.0035,0.0195,0.0658
Chrom1,14550292,1.46E+07,7.30E+06,38463,0.0122,0.0039,0.0214,0.0808
Chrom1,14600293,1.47E+07,7.33E+06,38355,0.007,0.0021,0.0172,0.1267
Chrom1,14650294,1.47E+07,7.35E+06,35808,0.0084,0.0035,0.0194,0.1138
Chrom1,14700295,1.48E+07,7.38E+06,38380,0.0079,0.0028,0.0226,0.1479
Chrom1,14750296,1.48E+07,7.40E+06,40261,0.0112,0.0043,0.0205,0.0833
Chrom1,14800297,1.49E+07,7.43E+06,36687,0.0105,0.0046,0.0193,0.0819
Chrom1,14850298,1.49E+07,7.45E+06,39355,0.0104,0.0054,0.0196,0.0819
