Chrom,start,end,mid,sites,pi_H.ant.Andes,pi_H.ant.Amaz,dxy_H.ant.Andes_H.ant.Amaz,Fst_H.ant.Andes_H.ant.Amaz
Chrom1,4100082,4150082,2075041,33944,0.0063,0.0086,0.0088,0.0817
Chrom1,4150083,4200083,2100041.5,34847,0.0076,0.0101,0.01,0.0637
Chrom1,4200084,4250084,2125042,33661,0.0079,0.0091,0.0095,0.0575
Chrom1,4250085,4300085,2150042.5,30263,0.0076,0.0102,0.0095,0.0316
Chrom1,4300086,4350086,2175043,35496,0.0072,0.0109,0.0103,0.0675
Chrom1,4350087,4400087,2200043.5,32549,0.0064,0.0084,0.0084,0.0648
Chrom1,4400088,4450088,2225044,34583,0.0083,0.0104,0.0107,0.0681
Chrom1,4450089,4500089,2250044.5,30823,0.007,0.0097,0.0095,0.0664
Chrom1,4500090,4550090,2275045,31622,0.0068,0.0102,0.0104,0.1047
Chrom1,4550091,4600091,2300045.5,32666,0.0085,0.0102,0.0105,0.0609
Chrom1,4600092,4650092,2325046,27169,0.0092,0.0106,0.0107,0.0409
Chrom1,4650093,4700093,2350046.5,32359,0.0082,0.0098,0.0106,0.0822
Chrom1,4700094,4750094,2375047,30867,0.0081,0.0095,0.0096,0.0438
Chrom1,4750095,4800095,2400047.5,27527,0.0074,0.0114,0.0112,0.0904
Chrom1,4800096,4850096,2425048,29580,0.0088,0.0132,0.0132,0.0934
Chrom1,4850097,4900097,2450048.5,34010,0.0075,0.0099,0.0107,0.1063
Chrom1,4900098,4950098,2475049,38823,0.0068,0.0087,0.0094,0.101
Chrom1,4950099,5000099,2500049.5,35915,0.0058,0.0071,0.0071,0.0512
Chrom1,5000100,5050100,2525050,39640,0.0042,0.0059,0.0062,0.1122
Chrom1,5050101,5100101,2550050.5,38493,0.006,0.0075,0.0082,0.0983
Chrom1,5100102,5150102,2575051,39257,0.0039,0.0069,0.0069,0.1257
Chrom1,5150103,5200103,2600051.5,38552,0.0063,0.0081,0.008,0.0551
Chrom1,5200104,5250104,2625052,35133,0.0061,0.0091,0.0097,0.1252
Chrom1,5250105,5300105,2650052.5,34501,0.0079,0.0104,0.0105,0.0734
Chrom1,5300106,5350106,2675053,38902,0.007,0.0084,0.0088,0.0715
Chrom1,5350107,5400107,2700053.5,38945,0.0055,0.0079,0.0077,0.0732
Chrom1,5400108,5450108,2725054,37294,0.0051,0.0093,0.0086,0.094
Chrom1,5450109,5500109,2750054.5,36700,0.0065,0.0104,0.0105,0.1105
Chrom1,5500110,5550110,2775055,37943,0.0059,0.008,0.0079,0.0645
Chrom1,5550111,5600111,2800055.5,35310,0.008,0.0097,0.0108,0.1027
Chrom1,5600112,5650112,2825056,31618,0.0078,0.009,0.0088,0.0247
Chrom1,5650113,5700113,2850056.5,32313,0.0064,0.0071,0.0072,0.0372
Chrom1,5700114,5750114,2875057,32734,0.0034,0.0048,0.0053,0.1295
Chrom1,5750115,5800115,2900057.5,36059,0.0066,0.0078,0.008,0.0559
Chrom1,5800116,5850116,2925058,34189,0.0067,0.0077,0.008,0.0512
Chrom1,5850117,5900117,2950058.5,37057,0.0054,0.0079,0.0074,0.0527
Chrom1,5900118,5950118,2975059,38498,0.0077,0.0098,0.0095,0.0409
Chrom1,5950119,6000119,3000059.5,38340,0.0072,0.0077,0.0081,0.0379
Chrom1,6000120,6050120,3025060,38650,0.0066,0.0082,0.008,0.0372
Chrom1,6050121,6100121,3050060.5,38220,0.0053,0.0072,0.0072,0.0753
Chrom1,6100122,6150122,3075061,32313,0.0062,0.0065,0.0069,0.0408
Chrom1,6150123,6200123,3100061.5,37136,0.0068,0.0085,0.0088,0.0752
Chrom1,6200124,6250124,3125062,39328,0.0044,0.0068,0.0073,0.1344
Chrom1,6250125,6300125,3150062.5,35131,0.0062,0.0081,0.0079,0.052
Chrom1,6300126,6350126,3175063,37963,0.0065,0.0065,0.0071,0.0448
Chrom1,6350127,6400127,3200063.5,39074,0.0046,0.0068,0.0063,0.0484
Chrom1,6400128,6450128,3225064,37576,0.0075,0.0095,0.0091,0.0337
Chrom1,6450129,6500129,3250064.5,33999,0.0057,0.007,0.007,0.0497
Chrom1,6500130,6550130,3275065,40759,0.0048,0.0056,0.0055,0.0285
Chrom1,6550131,6600131,3300065.5,36883,0.0057,0.0077,0.0077,0.0691
Chrom1,6600132,6650132,3325066,38194,0.0052,0.0062,0.0065,0.0637
Chrom1,6650133,6700133,3350066.5,39876,0.0071,0.0081,0.0085,0.0569
Chrom1,6700134,6750134,3375067,33322,0.0068,0.0089,0.0093,0.0846
Chrom1,6750135,6800135,3400067.5,37351,0.0046,0.008,0.0076,0.0946
Chrom1,6800136,6850136,3425068,34901,0.0069,0.0095,0.0094,0.0746
Chrom1,6850137,6900137,3450068.5,31380,0.0084,0.0106,0.011,0.0771
Chrom1,6900138,6950138,3475069,36664,0.006,0.0079,0.0082,0.0814
Chrom1,6950139,7000139,3500069.5,35906,0.0075,0.0092,0.0094,0.057
Chrom1,7000140,7050140,3525070,33912,0.0068,0.0087,0.0085,0.0487
Chrom1,7050141,7100141,3550070.5,32477,0.0069,0.0093,0.0098,0.1006
Chrom1,7100142,7150142,3575071,33042,0.0047,0.0075,0.008,0.1367
Chrom1,7150143,7200143,3600071.5,36156,0.0056,0.0081,0.0084,0.1045
Chrom1,7200144,7250144,3625072,35835,0.005,0.0085,0.0079,0.0755
Chrom1,7250145,7300145,3650072.5,39295,0.0058,0.0079,0.0079,0.0755
Chrom1,7300146,7350146,3675073,38034,0.0056,0.0076,0.008,0.0967
Chrom1,7350147,7400147,3700073.5,37948,0.0074,0.0096,0.0096,0.0608
Chrom1,7400148,7450148,3725074,33108,0.006,0.0079,0.0084,0.0978
Chrom1,7450149,7500149,3750074.5,39659,0.0073,0.0084,0.0087,0.0513
Chrom1,7500150,7550150,3775075,31896,0.0052,0.0088,0.0084,0.0916
Chrom1,7550151,7600151,3800075.5,34006,0.0069,0.0091,0.0095,0.0894
Chrom1,7600152,7650152,3825076,35661,0.0064,0.0075,0.0077,0.0503
Chrom1,7650153,7700153,3850076.5,33972,0.0079,0.0093,0.0107,0.112
Chrom1,7700154,7750154,3875077,34193,0.0035,0.0055,0.0055,0.0954
Chrom1,7750155,7800155,3900077.5,37210,0.0077,0.0086,0.0092,0.06
Chrom1,7800156,7850156,3925078,35121,0.0073,0.009,0.0089,0.0431
Chrom1,7850157,7900157,3950078.5,35514,0.007,0.0091,0.0096,0.0927
Chrom1,7900158,7950158,3975079,38571,0.0072,0.0081,0.0084,0.0454
Chrom1,7950159,8000159,4000079.5,36326,0.0069,0.0081,0.0081,0.0412
Chrom1,8000160,8050160,4025080,31649,0.0065,0.0073,0.0076,0.0472
Chrom1,8050161,8100161,4050080.5,32377,0.0053,0.0069,0.0072,0.081
Chrom1,8100162,8150162,4075081,38451,0.0038,0.0048,0.0049,0.0713
Chrom1,8150163,8200163,4100081.5,36908,0.0056,0.0076,0.0077,0.0812
Chrom1,8200164,8250164,4125082,33397,0.0045,0.0058,0.0071,0.1566
Chrom1,8250165,8300165,4150082.5,39207,0.0043,0.0076,0.0074,0.1069
Chrom1,8300166,8350166,4175083,31894,0.0066,0.0082,0.008,0.0378
Chrom1,8350167,8400167,4200083.5,37193,0.0036,0.0066,0.0064,0.1183
Chrom1,8400168,8450168,4225084,40232,0.0065,0.0083,0.0081,0.0441
Chrom1,8450169,8500169,4250084.5,40471,0.007,0.0079,0.0084,0.0584
Chrom1,8500170,8550170,4275085,29620,0.0062,0.0086,0.0081,0.0492
Chrom1,8550171,8600171,4300085.5,37185,0.0055,0.0074,0.0074,0.0714
Chrom1,8600172,8650172,4325086,37267,0.0066,0.0077,0.008,0.0567
Chrom1,8650173,8700173,4350086.5,33850,0.0071,0.0101,0.0098,0.0649
Chrom1,8700174,8750174,4375087,38531,0.0074,0.0092,0.0096,0.0751
Chrom1,8750175,8800175,4400087.5,36520,0.0069,0.0088,0.0087,0.0528
Chrom1,8800176,8850176,4425088,37380,0.0058,0.0081,0.0079,0.0665
Chrom1,8850177,8900177,4450088.5,37914,0.006,0.0089,0.0086,0.0685
Chrom1,8900178,8950178,4475089,35519,0.0055,0.0082,0.0082,0.0891
Chrom1,8950179,9000179,4500089.5,38156,0.006,0.0075,0.0077,0.0668
Chrom1,9000180,9050180,4525090,40485,0.0054,0.0063,0.0071,0.098
Chrom1,9050181,9100181,4550090.5,34310,0.0048,0.0073,0.0076,0.1171
Chrom1,9100182,9150182,4575091,38128,0.0061,0.0078,0.0075,0.0391
Chrom1,9150183,9200183,4600091.5,39211,0.0048,0.0069,0.0076,0.1281
Chrom1,9200184,9250184,4625092,38633,0.0048,0.0057,0.0062,0.0881
Chrom1,9250185,9300185,4650092.5,39703,0.004,0.0054,0.0052,0.0504
Chrom1,9300186,9350186,4675093,38263,0.0057,0.0071,0.0071,0.0488
Chrom1,9350187,9400187,4700093.5,39818,0.0052,0.0075,0.0073,0.073
Chrom1,9400188,9450188,4725094,37978,0.006,0.0075,0.0075,0.0557
Chrom1,9450189,9500189,4750094.5,39223,0.0047,0.0072,0.0074,0.1109
Chrom1,9500190,9550190,4775095,40423,0.0059,0.0074,0.0074,0.0525
Chrom1,9550191,9600191,4800095.5,36557,0.0055,0.008,0.0075,0.0505
Chrom1,9600192,9650192,4825096,28543,0.0089,0.0107,0.0114,0.0796
Chrom1,9650193,9700193,4850096.5,35020,0.008,0.0102,0.0104,0.0706
Chrom1,9700194,9750194,4875097,25906,0.0063,0.0079,0.0082,0.0693
Chrom1,9750195,9800195,4900097.5,30330,0.0082,0.0104,0.0108,0.078
Chrom1,9800196,9850196,4925098,33730,0.0078,0.0093,0.0104,0.0986
Chrom1,9850197,9900197,4950098.5,31816,0.0079,0.0091,0.0094,0.0505
Chrom1,9900198,9950198,4975099,38040,0.0058,0.0077,0.0081,0.0935
Chrom1,9950199,10000199,5000099.5,33665,0.0088,0.0102,0.0105,0.0483
Chrom1,10000200,10050200,5025100,31726,0.007,0.0094,0.0091,0.0585
Chrom1,10050201,10100201,5050100.5,37786,0.0055,0.0073,0.0075,0.0792
Chrom1,10100202,10150202,5075101,38308,0.0061,0.0083,0.0082,0.0677
Chrom1,10150203,10200203,5100101.5,39667,0.0042,0.0059,0.0059,0.0773
Chrom1,10200204,10250204,5125102,39182,0.0047,0.006,0.0066,0.1102
Chrom1,10250205,10300205,5150102.5,36355,0.0056,0.0063,0.0065,0.0427
Chrom1,10300206,10350206,5175103,29954,0.0049,0.0057,0.0059,0.0522
Chrom1,10350207,10400207,5200103.5,39806,0.0042,0.0055,0.006,0.11
Chrom1,10400208,10450208,5225104,35481,0.0041,0.0064,0.006,0.0653
Chrom1,10450209,10500209,5250104.5,37205,0.0051,0.0076,0.0075,0.0825
Chrom1,10500210,10550210,5275105,41980,0.0041,0.0055,0.0057,0.0895
Chrom1,10550211,10600211,5300105.5,40433,0.0041,0.0052,0.006,0.1281
Chrom1,10600212,10650212,5325106,37664,0.0037,0.005,0.005,0.0697
Chrom1,10650213,10700213,5350106.5,33803,0.0059,0.0073,0.0075,0.069
Chrom1,10700214,10750214,5375107,34265,0.0047,0.006,0.0059,0.0547
Chrom1,10750215,10800215,5400107.5,40996,0.003,0.0046,0.0046,0.0921
Chrom1,10800216,10850216,5425108,39131,0.004,0.0056,0.0057,0.0926
Chrom1,10850217,10900217,5450108.5,34378,0.0051,0.0068,0.0069,0.0749
Chrom1,10900218,10950218,5475109,41369,0.0046,0.0054,0.0054,0.038
Chrom1,10950219,11000219,5500109.5,38847,0.0053,0.0071,0.0071,0.069
Chrom1,11000220,11050220,5525110,38505,0.0045,0.0074,0.007,0.082
Chrom1,11050221,11100221,5550110.5,33266,0.0055,0.0077,0.0077,0.0774
Chrom1,11100222,11150222,5575111,38518,0.0024,0.0061,0.0056,0.143
Chrom1,11150223,11200223,5600111.5,39273,0.004,0.0071,0.0065,0.0864
Chrom1,11200224,11250224,5625112,36167,0.0068,0.0092,0.0085,0.0328
Chrom1,11250225,11300225,5650112.5,38237,0.0058,0.0069,0.0068,0.0334
Chrom1,11300226,11350226,5675113,37892,0.0035,0.0059,0.0055,0.08
Chrom1,11350227,11400227,5700113.5,38980,0.0031,0.0045,0.005,0.1423
Chrom1,11400228,11450228,5725114,33075,0.0036,0.0052,0.0048,0.0465
Chrom1,11450229,11500229,5750114.5,39802,0.0039,0.0048,0.0048,0.0519
Chrom1,11500230,11550230,5775115,30271,0.0028,0.006,0.0056,0.1211
Chrom1,11550231,11600231,5800115.5,39885,0.0035,0.006,0.0064,0.1521
Chrom1,11600232,11650232,5825116,39932,0.0033,0.0059,0.0057,0.1132
Chrom1,11650233,11700233,5850116.5,39018,0.0051,0.0062,0.0063,0.05
Chrom1,11700234,11750234,5875117,33992,0.0053,0.0053,0.0058,0.0531
Chrom1,11750235,11800235,5900117.5,41787,0.0053,0.0061,0.0061,0.0372
Chrom1,11800236,11850236,5925118,38937,0.0038,0.0051,0.0052,0.0731
Chrom1,11850237,11900237,5950118.5,40307,0.0048,0.0057,0.0057,0.0436
Chrom1,11900238,11950238,5975119,41929,0.003,0.0062,0.0059,0.1261
Chrom1,11950239,12000239,6000119.5,38711,0.005,0.008,0.0076,0.0806
Chrom1,12000240,12050240,6025120,37592,0.005,0.0068,0.0065,0.048
Chrom1,12050241,12100241,6050120.5,41579,0.0049,0.0063,0.0063,0.0601
Chrom1,12100242,12150242,6075121,28765,0.0046,0.0073,0.0075,0.1216
Chrom1,12150243,12200243,6100121.5,39823,0.0058,0.0075,0.0076,0.0701
Chrom1,12200244,12250244,6125122,40631,0.0043,0.0056,0.0062,0.11
Chrom1,12250245,12300245,6150122.5,43089,0.0043,0.0048,0.0049,0.0379
Chrom1,12300246,12350246,6175123,40088,0.0065,0.0075,0.008,0.071
Chrom1,12350247,12400247,6200123.5,38306,0.0035,0.0046,0.0043,0.0237
Chrom1,12400248,12450248,6225124,38520,0.0046,0.0058,0.0057,0.0384
Chrom1,12450249,12500249,6250124.5,41987,0.0031,0.0051,0.0048,0.0873
Chrom1,12500250,12550250,6275125,41687,0.0039,0.0045,0.0046,0.0396
Chrom1,12550251,12600251,6300125.5,37888,0.0046,0.0061,0.0058,0.042
Chrom1,12600252,12650252,6325126,35402,0.006,0.0076,0.0074,0.0459
Chrom1,12650253,12700253,6350126.5,39361,0.0048,0.0058,0.006,0.0603
Chrom1,12700254,12750254,6375127,38982,0.0048,0.0057,0.0059,0.055
Chrom1,12750255,12800255,6400127.5,40086,0.0047,0.0063,0.0064,0.0721
Chrom1,12800256,12850256,6425128,38976,0.0035,0.006,0.006,0.1293
Chrom1,12850257,12900257,6450128.5,34310,0.0046,0.0062,0.0061,0.0661
Chrom1,12900258,12950258,6475129,36764,0.0042,0.0057,0.0062,0.1127
Chrom1,12950259,13000259,6500129.5,36533,0.0055,0.0066,0.0065,0.0406
Chrom1,13000260,13050260,6525130,36980,0.0052,0.0068,0.0068,0.0642
Chrom1,13050261,13100261,6550130.5,39807,0.0049,0.0065,0.0064,0.0558
Chrom1,13100262,13150262,6575131,38785,0.0061,0.007,0.0072,0.0443
Chrom1,13150263,13200263,6600131.5,34049,0.0066,0.0082,0.0083,0.0597
Chrom1,13200264,13250264,6625132,39528,0.0051,0.0058,0.006,0.0518
Chrom1,13250265,13300265,6650132.5,41642,0.0058,0.0063,0.0074,0.1022
Chrom1,13300266,13350266,6675133,40379,0.0043,0.0049,0.005,0.0433
Chrom1,13350267,13400267,6700133.5,42215,0.0043,0.005,0.0051,0.0511
Chrom1,13400268,13450268,6725134,41472,0.0042,0.0045,0.0052,0.0906
Chrom1,13450269,13500269,6750134.5,38905,0.0037,0.0055,0.0056,0.1009
Chrom1,13500270,13550270,6775135,42128,0.0049,0.0066,0.0064,0.0545
Chrom1,13550271,13600271,6800135.5,42396,0.0046,0.0068,0.0068,0.0855
Chrom1,13600272,13650272,6825136,38862,0.0049,0.0056,0.0065,0.106
Chrom1,13650273,13700273,6850136.5,39701,0.0056,0.0056,0.0061,0.0416
Chrom1,13700274,13750274,6875137,39371,0.0046,0.0068,0.0065,0.0633
Chrom1,13750275,13800275,6900137.5,40082,0.0054,0.0067,0.0066,0.0426
Chrom1,13800276,13850276,6925138,38731,0.0051,0.0058,0.006,0.0469
Chrom1,13850277,13900277,6950138.5,41579,0.0043,0.0054,0.0057,0.0748
Chrom1,13900278,13950278,6975139,37592,0.0046,0.0057,0.0056,0.0442
Chrom1,13950279,14000279,7000139.5,35917,0.0076,0.0084,0.0086,0.0398
Chrom1,14000280,14050280,7025140,36230,0.0065,0.0085,0.0085,0.0672
Chrom1,14050281,14100281,7050140.5,34084,0.0057,0.0075,0.0075,0.0622
Chrom1,14100282,14150282,7075141,31958,0.0037,0.0053,0.0053,0.0833
Chrom1,14150283,14200283,7100141.5,36728,0.0042,0.005,0.0052,0.0653
Chrom1,14200284,14250284,7125142,42714,0.004,0.0049,0.0049,0.0458
Chrom1,14250285,14300285,7150142.5,34325,0.0028,0.0038,0.0037,0.0692
Chrom1,14300286,14350286,7175143,41880,0.0042,0.0053,0.0052,0.0498
Chrom1,14350287,14400287,7200143.5,39840,0.0056,0.0065,0.0064,0.0304
Chrom1,14400288,14450288,7225144,38817,0.0049,0.0062,0.0062,0.0558
Chrom1,14450289,14500289,7250144.5,41940,0.0045,0.0047,0.0052,0.0661
Chrom1,14500290,14550290,7275145,35738,0.0049,0.0063,0.006,0.0414
Chrom1,14550291,14600291,7300145.5,38463,0.0035,0.0066,0.0063,0.1134
Chrom1,14600292,14650292,7325146,38355,0.0035,0.0035,0.004,0.0694
Chrom1,14650293,14700293,7350146.5,35808,0.0039,0.004,0.0051,0.1238
Chrom1,14700294,14750294,7375147,38380,0.0033,0.0041,0.004,0.0402
Chrom1,14750295,14800295,7400147.5,40261,0.0043,0.0061,0.0058,0.0585
Chrom1,14800296,14850296,7425148,36687,0.0032,0.005,0.0058,0.178
Chrom1,14850297,14900297,7450148.5,39355,0.0048,0.0073,0.0079,0.1308
Chrom1,14900298,14950298,7475149,33955,0.0058,0.0081,0.009,0.1333
Chrom1,14950299,15000299,7500149.5,31504,0.0057,0.007,0.0072,0.0662
Chrom1,15000300,15050300,7525150,28863,0.006,0.0076,0.0078,0.0681
Chrom1,15050301,15100301,7550150.5,35175,0.0049,0.0066,0.0065,0.0635
Chrom1,15100302,15150302,7575151,39294,0.0057,0.0066,0.0068,0.0535
Chrom1,15150303,15200303,7600151.5,34424,0.005,0.006,0.0063,0.0656
Chrom1,15200304,15250304,7625152,34540,0.0039,0.0046,0.0047,0.051
Chrom1,15250305,15300305,7650152.5,32769,0.0038,0.0059,0.006,0.1052
Chrom1,15300306,15350306,7675153,36920,0.0053,0.0061,0.0065,0.0715
Chrom1,15350307,15400307,7700153.5,38970,0.0049,0.0071,0.0071,0.0853
Chrom1,15400308,15450308,7725154,39016,0.0041,0.0061,0.0057,0.0598
Chrom1,15450309,15500309,7750154.5,40846,0.0059,0.008,0.008,0.0688
Chrom1,15500310,15550310,7775155,39823,0.005,0.0061,0.0072,0.1334
Chrom1,15550311,15600311,7800155.5,40591,0.0057,0.0061,0.0066,0.0524
Chrom1,15600312,15650312,7825156,42658,0.0037,0.0045,0.0047,0.0732
Chrom1,15650313,15700313,7850156.5,42823,0.0043,0.0052,0.0054,0.0582
Chrom1,15700314,15750314,7875157,42197,0.0034,0.0044,0.0044,0.0578
Chrom1,15750315,15800315,7900157.5,38888,0.0058,0.0071,0.0076,0.0817
Chrom1,15800316,15850316,7925158,37956,0.0062,0.0067,0.007,0.0451
Chrom1,15850317,15900317,7950158.5,39995,0.0053,0.0056,0.0063,0.0776
Chrom1,15900318,15950318,7975159,37829,0.0052,0.0062,0.0063,0.052
Chrom1,15950319,16000319,8000159.5,35909,0.0057,0.0072,0.0071,0.0472
Chrom1,16000320,16050320,8025160,39466,0.0053,0.0067,0.0065,0.0422
Chrom1,16050321,16100321,8050160.5,39046,0.0053,0.0064,0.0063,0.0415
Chrom1,16100322,16150322,8075161,39058,0.006,0.0068,0.0068,0.03
Chrom1,16150323,16200323,8100161.5,39772,0.005,0.0055,0.0056,0.0293
Chrom1,16200324,16250324,8125162,38395,0.0058,0.006,0.0061,0.0149
Chrom1,16250325,16300325,8150162.5,42946,0.0044,0.0044,0.0049,0.0583
Chrom1,16300326,16350326,8175163,41791,0.0049,0.0072,0.007,0.0762
Chrom1,16350327,16400327,8200163.5,41614,0.0031,0.0046,0.0044,0.0664
Chrom1,16400328,16450328,8225164,41964,0.0044,0.0046,0.0052,0.0715
Chrom1,16450329,16500329,8250164.5,34921,0.0061,0.0073,0.0073,0.0451
Chrom1,16500330,16550330,8275165,37845,0.0052,0.0063,0.0065,0.0615
Chrom1,16550331,16600331,8300165.5,41449,0.0041,0.0058,0.0058,0.0835
Chrom1,16600332,16650332,8325166,42467,0.0038,0.005,0.0052,0.0806
Chrom1,16650333,16700333,8350166.5,35277,0.0048,0.0061,0.0062,0.0695
